label,dtype,context_len,mode,tokens_per_sec
NVIDIA_GeForce_RTX_2070,fp16,32,with_kv,102.815
NVIDIA_GeForce_RTX_2070,fp16,32,no_kv,100.203
NVIDIA_GeForce_RTX_2070,fp16,64,with_kv,117.895
NVIDIA_GeForce_RTX_2070,fp16,64,no_kv,99.363
NVIDIA_GeForce_RTX_2070,fp16,128,with_kv,102.174
NVIDIA_GeForce_RTX_2070,fp16,128,no_kv,50.204
NVIDIA_GeForce_RTX_2070,fp16,192,with_kv,104.854
NVIDIA_GeForce_RTX_2070,fp16,192,no_kv,29.221
NVIDIA_GeForce_RTX_2070,fp16,256,with_kv,101.930
NVIDIA_GeForce_RTX_2070,fp16,256,no_kv,20.859
